model,sentence,terms,n_pct
Qwen3.5-4B (ZS),Sanoma News ' advertising sales decreased by 22 % during the,decreased | decreased by,2
Qwen3.5-4B (ZS),The intent of the article was to focus attention on the fact,profit | drop | development | different,1
Qwen3.5-4B (ZS),"Country : , Finland Sector : Construction-Real Estate Target",profit | Finland | CapMan | Agreed | Divestment,1
Qwen3.5-4B (ZS),Both operating profit and net sales for the 12-month period ,increased,1
Qwen3.5-4B (ZS),The parties have agreed not to disclose the price of the dea,profit | rise | not to disclose,1
Qwen3.5-4B (ZS),The estimated value of the deal is USD 9.2 million .,profit | rise | drop | USD 9.2 million,0
Qwen3.5-4B (ZS),"A total of 1,800,000 stock options were issued in the 2003 s",profit | drop | options | total,0
Qwen3.5-4B (ZS),"Department store sales improved by 14 % to EUR 1,070.6 mn .",improved,1
Qwen3.5-4B (ZS),"The 10,000-odd square metre plot that Stockmann has bought f",center | location | profit | rise | drop,0
Qwen3.5-4B (ZS),"The total donation amount is EUR 1,115,000 .",total | is | rose | profit | dropped,2
Qwen3.5-4B (ZS),"The company reported a profit of 800,000 euro ($ 1.2 mln)on ",neutral | negative | from | profit | production,1
Qwen3.5-4B (ZS),Finnish Rautaruukki has been awarded a contract to supply an,awarded,3
Qwen3.5-4B (ZS),Consolidated pretax profit decreased by 69.2 % to EUR 41.0 m,decreased,2
Qwen3.5-4B (ZS),"She will succeed Krister Kylas , who has decided to leave Te",,0
Qwen3.5-4B (ZS),Operating profit improved by 16.7 % to EUR 7.7 mn .,improved,2
Qwen3.5-4B (ZS),The total value of the contract is some EUR 8 million .,,0
Qwen3.5-4B (ZS),"Rockwell Collins is a provider of flight deck , cabin and in",provider | solutions | profit | rose | dropped,0
Qwen3.5-4B (ZS),The bond has a value of EUR150m and a maturity of 4 years .,value | maturity | profit | rose | dropped,2
Qwen3.5-4B (ZS),Cameco typically prices sales contracts using a 40:60 ratio ,prices | fixed | spot,1
Qwen3.5-4B (ZS),Marimekko is considering further measures in the matter .,considering further measures,0
Qwen3.5-4B (ZS),It 's not .,not,0
Qwen3.5-4B (ZS),Ruukki 's order book at the end of 2010 was 30 % up year-on-,up | up,3
Qwen3.5-4B (ZS),The profit after taxes was EUR 57.7 11.1 million .,rose | dropped | taxes | was,1
Qwen3.5-4B (ZS),The company generates net sales of about 600 mln euro $ 775.,rose | dropped | about | employs,1
Qwen3.5-4B (ZS),"Erkki Jarvinen , President of Rautakirja and the head of the",similar position | leave,0
Qwen3.5-4B (ZS),Why not give your bedroom a cool makeover for summer .,cool,0
Qwen3.5-4B (ZS),The company operates worldwide and employs in total approxim,approximately,2
Qwen3.5-4B (ZS),F-Secure Internet Security 2010 is a security service for su,service | activities,0
Qwen3.5-4B (ZS),The dividends payable annually shall be deducted from the sh,profit | rose | dropped | dividends payable | subscription price,0
Qwen3.5-4B (ZS),"The company 's profit totaled Ls 578,100 in H1 2007 , down 3",down from | down | year,2
Qwen3.5-4B (ZS),- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) mill,rose | operating profit,1
Qwen3.5-4B (ZS),NWC ANALYSIS :,analysis,0
Qwen3.5-4B (ZS),"Pretax profit totalled EUR 2.0 mn , compared to a loss of EU",loss,1
Qwen3.5-4B (ZS),"Previously , the company expected its 2008 financial perform",profit | rose | dropped | remain | same level | as in,1
Qwen3.5-4B (ZS),No planned closing date was provided .,provided | no,0
Qwen3.5-4B (ZS),The value of the total investment is about EUR 600mn .,rose | dropped | about | EUR 600mn,0
Qwen3.5-4B (ZS),Revenue in the quarter fell 8 percent to ( EURO ) 2.4 billio,fell,2
Qwen3.5-4B (ZS),"The tests , conducted at Nokia Siemens ' LTE center of compe",production | tests | profit | rose | dropped,2
Qwen3.5-4B (ZS),The company 's board of directors would propose a dividend o,neutral | dividend | profit | rose,0
Qwen3.5-4B (ZS),Most of the dividend will go to the Grimaldi family .,profit | drop,0
Qwen3.5-4B (ZS),The total value of these two contracts is over EUR 21 millio,total value | EUR 21 million,0
Qwen3.5-4B (ZS),Systeemitiimi 's sales and project resources will also be st,resources | will,1
Qwen3.5-4B (ZS),"OUTOTEC OYJ PRESS RELEASE , FEBRUARY 19 , 2008 AT 11.00 AM O",won,1
Qwen3.5-4B (ZS),"Global sports equipment maker Amer Sports Corp. , whose bran",increase | strong,0
Qwen3.5-4B (ZS),"Following the demerger , the vice president of the group 's ",profit | drop,0
Qwen3.5-4B (ZS),The divested company is part of TietoEnator 's business area,divested | business area | profit | growth,0
Qwen3.5-4B (ZS),"Sales in Latin America increased by 42 % to EUR 432mn , and ",increased | increase,5
Qwen3.5-4B (ZS),Fancy Dans on the move FAB Glasgow gift and interiors store ,is,1
Qwen3.5-4B (ZS),"In a release on Oct. 28 , Peab said the two businesses will ",profit | drop,0
Qwen3.5-4B (ZS),The Stockmann department store will have a total floor space,investment | price tag,0
Qwen3.5-4B (ZS),"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the c",up from,0
Qwen3.5-4B (ZS),"( ADP News ) - Oct 31 , 2008 - Finnish food company Raisio O",jumped,0
Qwen3.5-4B (ZS),"( ADP News ) - Oct 1 , 2008 - Finnish consulting and enginee",awarded,1
Qwen3.5-4B (ZS),UPM-Kymmene www.upm-kymmene.com produces magazine papers and,produces | as well as,1
Qwen3.5-4B (ZS),"In January , traffic , measured in revenue passenger kilomet",rose | went up,3
Qwen3.5-4B (ZS),"The Group 's turnover in 2006 was EUR 39.2 million , and ope",rose | dropped,0
Qwen3.5-4B (ZS),"( ADP News ) - Feb 11 , 2009 - Finnish wood products technol",decreased | down from | dropped to,1
Qwen3.5-4B (ZS),The first stage of the contract covers 133 stores and 600 ca,contract | stores | covers,0
Qwen3.5-4B (ZS),Net interest income increased by 4.5 % to EUR 31.4 mn from E,increased | Net interest income,1
Qwen3.5-4B (ZS),Finnish Metso Paper has been awarded a contract for the rebu,awarded a contract,2
Qwen3.5-4B (ZS),The enterprise value of Maritim Food AS has been determined ,rose | dropped | approximately,0
Qwen3.5-4B (ZS),The fair value of the property portfolio doubled as a result,profit | drop,1
Qwen3.5-4B (ZS),"Operating profit , excluding non-recurring items , totaled E",down from,2
Qwen3.5-4B (ZS),"In Q1 of 2009 , the company 's operating loss totalled EUR 0",operating loss,2
Qwen3.5-4B (ZS),"The final price will be specified by 14 May 2010 , the acqui",profit | rose | dropped,0
Qwen3.5-4B (ZS),"Established in 1989 , CapMan manages Nordic buyout , mezzani",profit | approximately | total,0
Qwen3.5-4B (ZS),Finnish communication electronics components supplier Scanfi,15% lower,4
Qwen3.5-4B (ZS),"The new majority owners of Aspocomp Thailand Co. , Ltd are c",present | joint venture,0
Qwen3.5-4B (ZS),Satama 's net profit for the third quarter of 2007 rose to 2,rose to,1
Qwen3.5-4B (ZS),Panostaja Oyj 's Board also decided at its organisational me,,0
Qwen3.5-4B (ZS),Stora Enso 's third-quarter pre-tax profit doubled to EUR 19,doubled,0
Qwen3.5-4B (ZS),"Finnish Suominen Corporation that makes wipes , nonwovens , ",expects changes... to reduce sales,0
Qwen3.5-4B (ZS),Cash flow from operations in January-December 2008 was a neg,positive | negative,2
Qwen3.5-4B (ZS),They both will report to Oriola-KD 's chief executive office,report | will,2
Qwen3.5-4B (ZS),"In July-September 2009 , Konecranes ' sales decreased to EUR",decreased,1
Qwen3.5-4B (ZS),"SRV will also build an aqua park with wellness area , a rest",area | will | park | and,1
Qwen3.5-4B (ZS),"Established in 1987 , the SRV Group is a private Finnish con",profit | rise | is | Finland | established,1
Qwen3.5-4B (ZS),Helsinki 19 May 2010 - Finnish company Lemminkainen Oyj ( HE,profit | rose | without disclosing financial details,1
Qwen3.5-4B (ZS),"Finnair 's passenger load factor , which measures the number",dropped to | dropped,2
Qwen3.5-4B (ZS),The company 's plant in Russia will continue to make tyres f,will | plant | profit | rose | dropped,0
Qwen3.5-4B (ZS),Net sales have been eaten by the weak US dollar .,weak US dollar | eaten | dropped,0
Qwen3.5-4B (ZS),Productional situation has now improved .,improved | neutral,0
Qwen3.5-4B (ZS),Suomen Paikallissanomat Oy is part of Alma Media Group and i,is | currently | Finland,0
Qwen3.5-4B (ZS),The energy shot is packed in a 100-millilitre bag with a scr,shot | bag | cap,2
Qwen3.5-4B (ZS),Cargotec will also move Hallberg-Ivarsson 's service and ins,business | service | profit | rose | dropped,2
Qwen3.5-4B (ZS),"The value of the order is EUR 700,000 .",neutral | the order,0
Qwen3.5-4B (ZS),Stockholm-based Nordea Bank ( STO : NDA ) said yesterday it ,profit | rise,0
Qwen3.5-4B (ZS),Return on capital employed rose by 4.8 percentage points to ,rose,1
Qwen3.5-4B (ZS),The company says the measures are no longer needed .,no longer needed,0
Qwen3.5-4B (ZS),Earnings per share EPS in 2005 decreased to EUR0 .66 from EU,decreased,0
Qwen3.5-4B (ZS),"Finnish Exel Composites , a technology company that designs ",decreased | down from | decreased,1
Qwen3.5-4B (ZS),Kone shares dropped 4.1 percent to  x20ac 43 US$ 55.77 in He,dropped to | dropped,1
Qwen3.5-4B (ZS),The trade is in accordance with the agreement announced on 2,in accordance with | rise | fall | profit,2
Qwen3.5-4B (ZS),It operates under three distinct brands : United Supermarket,operates | distinct brands,0
Qwen3.5-4B (ZS),The total capacity of the factory will be approximately 100 ,approximately | profit | rose | dropped,0
Qwen3.5-4B (ZS),SRV lowered its net sales estimate for the whole of 2008 due,lowered its net sales estimate | uncertainties in housing sales | estimate | due to,0
Qwen3.5-4B (ZS),The maximum number of new shares to be offered is 22 million,dropped to,0
Qwen3.5-4B (ZS),"Cooper SH , the UK distributor for lift equipment manufactur",fuel saving technologies | maintenance | and,0
Qwen3.5-4B (ZS),GyPSii service supports ten different languages including Ko,ten different languages | including | profit | rose | dropped,0
Qwen3.5-4B (ZS),No changes in media activity were seen in October compared w,rose | dropped | no changes,0
Qwen3.5-4B (ZS),The mall will be financed on a parity basis by Pearl Plaza L,will be | investment,0
Qwen3.5-4B (ZS),VNH generates annual net sales of about 5 mln eur and employ,profit | rose | employs 21 people | about 5 mln eur,1
Qwen3.5-4B (ZS),The company has some 410 employees and an annual turnover of,employees | turnover | profit | rose | dropped,0
Qwen3.5-4B (ZS),"In April-June 2008 , Scanfil 's net sales totalled EUR 58.7 ",neutral | rose | dropped,1
Qwen3.5-4B (ZS),Goodwill and other intangible assets account for some 2.0 ml,profit | rose | dropped,0
Qwen3.5-4B (ZS),"London 's leading shares today jumped almost 100 points , or",profit | drop | jumped almost 100 points,1
Qwen3.5-4B (ZS),"Comparable operating profit totaled EUR 4.7 mn , down from E",down from,4
Qwen3.5-4B (ZS),"Following the registration , the number of issued and outsta",is | the | rose | dropped,0
Qwen3.5-4B (ZS),The transaction is expected to be completed next spring .,is expected | completed,0
Qwen3.5-4B (ZS),"In the sinter plant , limestone and coke breeze are mixed wi",mixed | sintered | raw material,0
Qwen3.5-4B (ZS),The operating margin of Aker Yards Cruise & Ferries division,went down,4
Qwen3.5-4B (ZS),Almost the entire office building will be occupied by Metso ,occupied by Metso | will be | office,0
Qwen3.5-4B (ZS),Pharmaceutical market in Belgium Global Research & Data Serv,research | about,0
Qwen3.5-4B (ZS),Finnish power supply solutions and systems provider Efore Oy,positive | said | fiscal | positive,1
Qwen3.5-4B (ZS),Another noticeable thing is that the search for Tata and Air,is | related | noticeable,0
Qwen3.5-4B (ZS),The expanded plant is scheduled to be operational by the mid,is scheduled | operational,0
Qwen3.5-4B (ZS),"Seven-month sales of Ragutis , which is controlled by the Fi",negative | declined | dropped to,2
Qwen3.5-4B (ZS),"Svyturys-Utenos Alus , which is controlled by the Nordic gro",growth | beer sales,2
Qwen3.5-4B (ZS),The company also said that in Poland a profitability program,profit | rose | program | launched,1
Qwen3.5-4B (ZS),Finnish media group Talentum has issued a profit warning .,warning | profit warning,0
Qwen3.5-4B (ZS),Protalix closed at $ 10.71 on Friday on the American Stock E,rose | dropped | closed at | market cap,0
