metric,Qwen3.5-4B (ZS),Gemma3-4B (ZS)
n,340,340
rows_with_quoted_terms,332,333
rows_with_pct,161,273
total_quoted_terms,840,1316
terms_in_panel_features,685,1177
terms_in_linear_features,433,606
terms_in_xgb_global_list,294,642
terms_only_in_sentence,106,52
terms_class_labels,26,82
terms_cited_as_absent,19,1
terms_ungrounded,4,4
total_pct_citations,240,552
pct_match_panel,218,536
pct_match_sentence_only,22,2
pct_threshold_claims,0,7
pct_unmatched,0,7
quoted_term_coverage,0.9764705882352941,0.9794117647058823
term_validity_rate,0.8154761904761905,0.8943768996960486
term_grounded_rate,0.9952380952380953,0.9969604863221885
term_hallucination_rate,0.004761904761904762,0.00303951367781155
pct_faithful_rate,1.0,0.9746376811594203
pct_match_panel_rate,0.9083333333333333,0.9710144927536232
pct_unmatched_rate,0.0,0.012681159420289856
