sentence,label,bert_ft_pred
Sanoma News ' advertising sales decreased by 22 % during the year .,negative,negative
The intent of the article was to focus attention on the fact that the development model that China had followed was very different than the model that India had followed .,neutral,neutral
"Country : , Finland Sector : Construction-Real Estate Target : Pohjolan Design-Talo Oy Buyer : CapMan Oyj Vendor : Ruukki Group Oyj Deal size in USD : 102.6 m Type : Divestment Status : Agreed",neutral,neutral
"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",positive,positive
"The parties have agreed not to disclose the price of the deal , the group said in a press release .",neutral,neutral
The estimated value of the deal is USD 9.2 million .,neutral,neutral
"A total of 1,800,000 stock options were issued in the 2003 stock option scheme .",neutral,neutral
"Department store sales improved by 14 % to EUR 1,070.6 mn .",positive,positive
"The 10,000-odd square metre plot that Stockmann has bought for the Nevsky Center shopping center is located on Nevsky Prospect , St Petersburg 's high street , next to the Vosstaniya Square underground station , in the immediate vicinity of Moscow Station .",neutral,neutral
"The total donation amount is EUR 1,115,000 .",neutral,neutral
"The company reported a profit of 800,000 euro ($ 1.2 mln)on the sale of its Varesvuo Partners sub-group and a loss of 400,000 euro $ 623,000 caused by the sale of its program production subsidiary Oy Filmiteollisuus Fine Ab .",neutral,negative
Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+Ârbindelsen bridge in Gothenburg in Sweden .,positive,positive
Consolidated pretax profit decreased by 69.2 % to EUR 41.0 mn from EUR 133.1 mn in 2007 .,negative,negative
"She will succeed Krister Kylas , who has decided to leave TeliaSonera .",neutral,neutral
Operating profit improved by 16.7 % to EUR 7.7 mn .,positive,positive
The total value of the contract is some EUR 8 million .,neutral,neutral
"Rockwell Collins is a provider of flight deck , cabin and information management solutions for business aircraft operators .",neutral,neutral
The bond has a value of EUR150m and a maturity of 4 years .,neutral,neutral
Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices .,neutral,neutral
Marimekko is considering further measures in the matter .,neutral,neutral
It 's not .,neutral,neutral
Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,positive,positive
The profit after taxes was EUR 57.7 11.1 million .,neutral,neutral
"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .",neutral,neutral
"Erkki Jarvinen , President of Rautakirja and the head of the Sanoma Trade division , will leave his current tasks in spring 2009 for a similar position outside the Sanoma Group .",neutral,neutral
Why not give your bedroom a cool makeover for summer .,neutral,neutral
"The company operates worldwide and employs in total approximately 47,000 persons .",neutral,neutral
"F-Secure Internet Security 2010 is a security service for surfing the web , online banking and shopping , e-mail , and other online activities .",neutral,neutral
